,代码,名称,最新价,股数
0,301180,万祥科技,16.66,44.59
1,300806,斯迪克,13.14,2376.0600000000004
2,300462,华铭智能,9.13,65.25
3,300262,*ST巴安,0.85,0.0
4,300585,奥联电子,12.01,0.0
5,301176,逸豪新材,30.81,21.73
6,301282,金禄电子,22.93,0.0
7,300868,杰美特,21.96,142.0
8,301548,崇德科技,83.8,222.45
9,688429,时创能源,18.14,0.0
10,688312,燕麦科技,20.5,124.51
11,300696,爱乐达,16.4,0.0
12,300739,明阳电路,16.38,2.86
13,833427,华维设计,7.95,0.0
14,300457,赢合科技,19.99,1383.9500000000003
15,688090,瑞松科技,33.59,0.0
16,002131,利欧股份,1.5,12023.15
17,301251,威尔高,42.8,0.0
18,000996,中期退,0.43,0.0
19,002766,索菱股份,4.49,29.62
20,002963,豪尔赛,10.76,112.36000000000001
21,688702,盛科通信-U,50.96,1234.4499999999996
22,600345,长江通信,20.32,0.0
23,000049,德赛电池,22.53,909.3499999999999
24,002938,鹏鼎控股,37.95,7587.4400000000005
25,002869,金溢科技,28.27,12.669999999999998
26,002199,东晶电子,6.93,0.0
27,001258,立新能源,6.6,124.12
28,603261,立航科技,30.71,0.0
29,603268,松发股份,12.77,0.0
30,603679,华体科技,11.79,465.5799999999999
31,002384,东山精密,18.63,8368.400000000001
32,002600,领益智造,5.63,13098.289999999999
33,600192,长城电工,5.31,0.0
34,600550,保变电气,5.09,0.0
35,000042,中洲控股,4.76,0.0
36,002198,嘉应制药,7.35,0.0
37,300025,华星创业,10.8,0.0
38,300641,正丹股份,30.91,126.26
39,002433,太安退,0.23,0.0
40,600601,方正科技,2.77,0.0
41,834058,华洋赛车,19.06,112.05000000000001
42,688518,联赢激光,15.88,788.49
43,688141,杰华特,19.0,764.5900000000001
44,688045,必易微,32.01,112.17
45,603685,晨丰科技,14.05,179.59
46,301314,科瑞思,32.7,11.67
47,300125,ST聆达,2.25,0.0
48,300779,惠城环保,50.5,602.9400000000002
49,301136,招标股份,10.93,53.37
50,002074,国轩高科,20.79,7231.140000000001
51,688333,铂力特,59.08,3935.2100000000014
52,301237,和顺科技,22.36,0.0
53,300901,中胤时尚,8.26,57.9
54,002475,立讯精密,36.98,144018.40000000005
55,603826,坤彩科技,44.77,0.0
56,002709,天赐材料,20.52,25561.430000000004
57,000839,中信国安,2.98,0.0
58,301270,汉仪股份,26.7,0.01
59,002006,精工科技,13.88,1409.34
60,603969,银龙股份,5.41,0.0
61,689009,九号公司-WD,41.35,12961.609999999995
62,002856,美芝股份,11.41,0.0
63,600584,长电科技,31.09,22328.430000000004
64,600719,大连热电,11.01,0.0
65,300956,英力股份,28.03,165.6
66,300098,高新兴,4.22,0.0
67,688376,美埃科技,32.35,626.3900000000001
68,600238,海南椰岛,7.49,418.72
69,002045,国光电器,12.69,1712.95
70,301152,天力锂能,23.43,0.0
71,002119,康强电子,13.15,368.47
72,605111,新洁能,32.32,909.35
73,600312,平高电气,17.91,9259.640000000001
74,300358,楚天科技,8.06,934.73
75,603876,鼎胜新材,10.1,4376.9
76,002087,新纺退,0.17,0.0
77,600843,上工申贝,8.93,0.0
78,300617,安靠智电,29.09,845.06
79,002180,纳思达,28.22,27419.38
80,300567,精测电子,62.86,10704.179999999997
81,300852,四会富仕,26.88,0.0
82,301150,中一科技,18.9,0.0
83,837821,则成电子,16.42,0.0
84,002407,多氟多,13.94,2319.25
85,002241,歌尔股份,18.59,11593.65
86,600094,大名城,4.17,113.44
87,300014,亿纬锂能,42.86,
88,688383,新益昌,63.59,1085.1300000000003
89,301577,美信科技,55.22,0.0
90,301377,鼎泰高科,17.44,583.31
91,001288,运机集团,28.94,135.43
